latitude,longitude,cluster
42.2924,-71.0758,1
42.2931,-71.1517,1
42.3233,-71.1046,1
42.338,-71.1532,1
42.3018,-71.0853,1
42.2838,-71.0756,1
42.3465,-71.1517,1
42.3112,-71.0644,1
42.3123,-71.1102,1
42.3046,-71.1144,1
42.338,-71.1532,1
42.2775,-71.0944,1
42.2962,-71.0566,1
42.3487,-71.1547,1
42.288000000000004,-71.1387,1
42.3146,-71.0788,1
42.3451,-71.1401,1
42.2932,-71.0521,1
42.3023,-71.1049,1
42.273999999999994,-71.0939,1
42.3594,-71.0587,1
42.3126,-71.0862,1
42.2969,-71.0635,1
42.2998,-71.078,1
42.3216,-71.0852,1
42.3196,-71.1033,1
42.2919,-71.0679,1
42.3008,-71.0618,1
42.3451,-71.1401,1
42.2938,-71.05199999999999,1
42.3134,-71.0542,1
42.2618,-71.1025,1
42.2876,-71.0689,1
42.325,-71.0805,1
42.294,-71.0793,1
42.2543,-71.1254,1
42.2511,-71.1312,1
42.2789,-71.0546,1
42.3174,-71.0896,1
42.3182,-71.0891,1
42.3048,-71.0792,1
42.2501,-71.1328,1
42.2703,-71.1205,1
42.2876,-71.0689,1
42.3496,-71.1633,1
42.3594,-71.0587,1
42.318000000000005,-71.1132,1
42.2814,-71.0972,1
42.3002,-71.0771,1
42.3592,-71.1317,1
42.3451,-71.1401,1
42.2913,-71.0896,1
42.3594,-71.0587,1
42.3594,-71.0587,1
42.338,-71.1532,1
42.2862,-71.1395,1
42.3054,-71.0711,1
42.2659,-71.1219,1
42.2996,-71.083,1
42.3108,-71.0816,1
42.3611,-71.1415,1
42.3167,-71.096,1
42.3594,-71.0587,1
42.3102,-71.0608,1
42.2512,-71.1441,1
42.3174,-71.0896,1
42.3038,-71.0745,1
42.3057,-71.0611,1
42.3038,-71.0745,1
42.3594,-71.0587,1
42.2863,-71.0667,1
42.2956,-71.085,1
42.3135,-71.0556,1
42.3164,-71.1114,1
42.3054,-71.0618,1
42.2726,-71.0755,1
42.3444,-71.1408,1
42.3038,-71.1158,1
42.2925,-71.0776,1
42.3451,-71.1401,1
42.3541,-71.1517,1
42.2709,-71.1019,1
42.3208,-71.0932,1
42.3275,-71.1021,1
42.2917,-71.0705,1
42.3626,-71.1307,1
42.2936,-71.0762,1
42.2886,-71.1258,1
42.3594,-71.0587,1
42.3427,-71.1546,1
42.2784,-71.0939,1
42.3134,-71.0951,1
42.266999999999996,-71.1136,1
42.2983,-71.1158,1
42.3527,-71.1302,1
42.3594,-71.0587,1
42.3537,-71.1706,1
42.3489,-71.1547,1
42.2809,-71.1472,1
42.3605,-71.1249,1
42.2597,-71.1305,1
42.2946,-71.141,1
42.2812,-71.0954,1
42.3594,-71.0587,1
42.2517,-71.1248,1
42.3145,-71.1073,1
42.3072,-71.1152,1
42.3087,-71.0627,1
42.3158,-71.0983,1
42.3613,-71.142,1
42.3594,-71.0587,1
42.3037,-71.0791,1
42.2817,-71.0811,1
42.2845,-71.0926,1
42.3054,-71.0618,1
42.3053,-71.0626,1
42.3228,-71.0782,1
42.3594,-71.0587,1
42.2806,-71.0511,1
42.3062,-71.0853,1
42.2949,-71.0878,1
42.2932,-71.1152,1
42.2709,-71.1687,1
42.3402,-71.1564,1
42.2883,-71.0864,1
42.3451,-71.1401,1
42.3311,-71.0981,1
42.3498,-71.133,1
42.2752,-71.1612,1
42.3217,-71.0923,1
42.3179,-71.0914,1
42.3156,-71.0694,1
42.3066,-71.1268,1
42.276,-71.1383,1
42.2913,-71.1527,1
42.3201,-71.0874,1
42.3594,-71.0587,1
42.3196,-71.1103,1
42.3167,-71.0978,1
42.2952,-71.1164,1
42.2784,-71.0935,1
42.2407,-71.1352,1
42.3451,-71.1401,1
42.2794,-71.08800000000001,1
42.298,-71.0593,1
