latitude,longitude,cluster
42.349,-71.1546,1
42.321000000000005,-71.1105,1
42.3166,-71.1031,1
42.3571,-71.1328,1
42.3267,-71.1047,1
42.3182,-71.0705,1
42.3594,-71.0587,1
42.3104,-71.0875,1
42.3145,-71.1013,1
42.2899,-71.0679,1
42.338,-71.1532,1
42.3323,-71.1111,1
42.338,-71.1532,1
42.2887,-71.1165,1
42.2885,-71.0593,1
42.272,-71.0994,1
42.2958,-71.0868,1
42.2813,-71.09100000000001,1
42.2833,-71.0791,1
42.3584,-71.1268,1
42.3053,-71.0805,1
42.3088,-71.1158,1
42.2855,-71.1188,1
42.3594,-71.0587,1
42.3003,-71.0628,1
42.352,-71.1627,1
42.278999999999996,-71.0911,1
42.2965,-71.0549,1
42.286,-71.0871,1
42.3624,-71.1439,1
42.3173,-71.0777,1
42.2937,-71.1151,1
42.2808,-71.1311,1
42.31100000000001,-71.0599,1
42.2913,-71.1615,1
42.3219,-71.1075,1
42.297,-71.0907,1
42.2754,-71.0777,1
42.3025,-71.0661,1
42.2449,-71.1172,1
42.3094,-71.0673,1
42.2911,-71.0593,1
42.3594,-71.0587,1
42.244,-71.1177,1
42.2901,-71.117,1
42.3209,-71.1122,1
42.3594,-71.0587,1
42.29,-71.0635,1
42.2688,-71.0933,1
42.353,-71.15,1
42.2799,-71.0832,1
42.2844,-71.1624,1
42.2924,-71.0673,1
42.3483,-71.1545,1
42.2919,-71.0713,1
42.2517,-71.1248,1
42.2921,-71.0504,1
42.3176,-71.0968,1
42.3156,-71.0789,1
42.313,-71.0841,1
42.3127,-71.1111,1
42.261,-71.1127,1
42.3542,-71.1496,1
42.2895,-71.0459,1
42.3594,-71.0587,1
42.2837,-71.0539,1
42.2528,-71.128,1
42.3208,-71.0932,1
42.306000000000004,-71.0687,1
42.3594,-71.0587,1
42.3594,-71.0587,1
42.2887,-71.1383,1
42.3451,-71.1401,1
42.3157,-71.061,1
42.2902,-71.0663,1
42.3085,-71.1155,1
42.2965,-71.0615,1
42.2884,-71.058,1
42.3517,-71.1736,1
42.3025,-71.1655,1
42.3553,-71.1352,1
42.3108,-71.0816,1
42.3459,-71.1533,1
42.2871,-71.0453,1
42.2821,-71.155,1
42.2872,-71.1211,1
42.3451,-71.1401,1
42.266999999999996,-71.09899999999999,1
42.3053,-71.1141,1
42.348,-71.1618,1
42.3061,-71.0841,1
42.3594,-71.0587,1
42.3073,-71.079,1
42.3196,-71.1033,1
42.2818,-71.0616,1
42.2897,-71.0655,1
42.2817,-71.0746,1
42.3594,-71.0587,1
42.2844,-71.0948,1
42.3201,-71.0848,1
42.3188,-71.056,1
42.2815,-71.0671,1
42.2822,-71.1536,1
42.3133,-71.0653,1
42.3148,-71.0904,1
42.2565,-71.1256,1
42.3594,-71.0587,1
42.3594,-71.0587,1
42.2751,-71.0939,1
42.3594,-71.0587,1
42.3204,-71.0726,1
42.3338,-71.0762,1
42.3422,-71.1549,1
42.2665,-71.1113,1
42.3235,-71.1075,1
42.2907,-71.124,1
42.2887,-71.1506,1
42.3594,-71.0587,1
42.275,-71.094,1
42.3087,-71.0508,1
42.284,-71.0796,1
42.3245,-71.0869,1
42.281000000000006,-71.0706,1
42.3594,-71.0587,1
42.371,-71.0383,1
42.3278,-71.0672,1
42.3278,-71.0672,1
42.3052,-71.0714,1
42.3594,-71.0587,1
42.3436,-71.0718,1
42.2847,-71.0918,1
42.3193,-71.1049,1
42.3716,-71.036,1
42.2917,-71.0578,1
42.3627,-71.063,1
42.3641,-71.0662,1
42.3594,-71.0587,1
42.3157,-71.0539,1
42.3091,-71.0682,1
42.2893,-71.0701,1
42.3019,-71.1669,1
42.3766,-71.0656,1
42.2847,-71.0918,1
42.3579,-71.0687,1
42.3594,-71.0587,1
42.3274,-71.1065,1
42.2743,-71.0718,1
42.2804,-71.0899,1
42.3513,-71.0642,1
42.3023,-71.1052,1
42.3585,-71.0667,1
42.3342,-71.097,1
42.333,-71.10600000000001,1
42.3278,-71.0672,1
42.3344,-71.0973,1
42.3133,-71.061,1
42.3594,-71.0587,1
42.2778,-71.0817,1
42.3543,-71.1501,1
42.3369,-71.0295,1
42.3531,-71.0628,1
42.2847,-71.0918,1
42.3046,-71.0814,1
42.281000000000006,-71.0706,1
42.3594,-71.0587,1
42.3594,-71.0587,1
42.3594,-71.0587,1
42.3052,-71.0714,1
42.3492,-71.0787,1
42.3639,-71.0565,1
